Sample,SubRegion,SoilType,SubType,Granularity,Parent_Mat,type_area,ShannonIndex
37,Миусский подрайон,Черноземы,Черноземы обыкновенные,"глинистый, тяжелосуглинистый",не определено,34571.467,3.4552529298251438
43,Глубокинский подрайон,,,,,,3.5514886213890344
49,Миусский подрайон,Черноземы,Черноземы обыкновенные,глинистый,лессовидные глины,65612.518,3.49499413720011
63,Глубокинский подрайон,,,,,,3.440173262402341
98,Миусский подрайон,Черноземы,Черноземы обыкновенные,"глинистый, тяжелосуглинистый",не определено,34571.467,3.456396908177675
144,,,,,,,3.476584354484357
159,Миусский подрайон,Черноземы,Черноземы обыкновенные,"глинистый, тяжелосуглинистый",не определено,34571.467,3.5015652660582695
166,Миусский подрайон,Черноземы,Черноземы обыкновенные,"глинистый, тяжелосуглинистый",не определено,34571.467,3.517414464785113
1501,Центральный подрайон,Черноземы,Черноземы обыкновенные,тяжелосуглинистый,не определено,95927.799,3.448289269790129
1501,Центральный подрайон,Черноземы,Черноземы обыкновенные,тяжелосуглинистый,не определено,35.043,3.448289269790129
1502,Центральный подрайон,Черноземы,Черноземы обыкновенные,"глинистый, тяжелосуглинистый",лессовидные глины и суглинки,95848.889,3.5411012556932304
1503,Центральный подрайон,Черноземы,Черноземы обыкновенные,"глинистый, тяжелосуглинистый",Лессовидные глины и суглинки,,3.499908543948122
1601,Калитвенский подрайон,Солонцы автоморфные,Солонцы черноземные,среднесуглинистый,желто-бурые легкие и средние суглинки,250.125,3.409139204353609
1602,Калитвенский подрайон,Черноземы,Черноземы южные,легкосуглинистый,желто-бурые легкие суглинки,1837.753,3.4506360824252766
1603,Глубокинский подрайон,,,,,,3.38924809432367
1604,Глубокинский подрайон,,,,,,3.2918144411714847
1606,Несветайско-Грушевский подрайон,Черноземы,Черноземы южные,"глинистый, тяжелосуглинистый",лессовидные глины и суглинки,17235.067,3.456208503150539
1607,Несветайско-Грушевский подрайон,Черноземы,Черноземы обыкновенные,"легкоглинистый, тяжелосуглинистый",не определено,17168.088,3.4084983199310406
1701,Гашун-Джураксальский подрайон a,Солонцы автоморфные,Солонцы каштановые,тяжелосуглинистый,лессовидные суглинки,96444.214,3.470437490887143
1702,Гашун-Джураксальский подрайон a,Каштановые почвы,Каштановые почвы,тяжелосуглинистый,лессовидные суглинки,96444.214,3.6292684934453447
1703,Гашун-Джураксальский подрайон a,Каштановые почвы,Каштановые почвы,тяжелосуглинистый,лессовидные суглинки,96444.214,3.526616396676861
1705,Маныч-Гудиловский подрайон,Черноземы,Черноземы обыкновенные,"глинистый, тяжелосуглинистый",не определено,13765.027,3.5566447874193354
1706,Тузловский подрайон,,,,,,3.4248020337323193
1708,Тузловский подрайон,,,,,,3.426220699304523
1801,Тузловский подрайон,,,,,,3.4212085433051236
1804,не определено,Аллювиальные луговые насыщенные почвы,Аллювиальные луговые насыщенные почвы,тяжелосуглинистый,не определено,,3.5996545651071403
1805,не определено,Аллювиальные луговые насыщенные почвы,Аллювиальные луговые насыщенные почвы,тяжелосуглинистый,не определено,,3.5334455004897984
1809,Глубокинский подрайон,Черноземы,Черноземы южные,"глинистый, тяжелосуглинистый",желто-бурые глины и суглинки,158219.098,3.538059705353541
1810,Глубокинский подрайон,Черноземы,Черноземы южные,"глинистый, тяжелосуглинистый",желто-бурые глины и суглинки,158219.098,3.5803857921566973
1811,Глубокинский подрайон,Черноземы,Черноземы южные,"глинистый, тяжелосуглинистый, среднесуглинистый",желто-бурые глины и суглинки,158219.098,3.5471159018988354
1812,Подрайон Донецкого кряжа,Обнажения плотных пород,не определено,тяжелосуглинистый,элювий плотных пород,15133.378,3.5262129934225035
1813,Подрайон Донецкого кряжа,Черноземы неполноразвитые,не определено,тяжелосуглинистый,элювий плотных пород,15133.378,3.5192026922636668
1815,Несветайско-Грушевский подрайон,Черноземы,Черноземы обыкновенные,тяжелосуглинистый,лессовидные тяжелые суглинки,12959.868,3.5418366705699946
1816,Несветайско-Грушевский подрайон,Черноземы,Черноземы обыкновенные,тяжелосуглинистый,желто-бурые средние глины и тяжелые суглинки,81.874,3.5891821686210927
1817,Миусский подрайон,Черноземы,Черноземы обыкновенные,легкоглинистый,желто-бурые легкие глины,3443.53,3.457503741653351
1818,не определено,Аллювиальные луговые насыщенные почвы,Аллювиальные луговые насыщенные слоистые почвы,не определено,не определено,,3.3629698719969605
1819,не определено,Аллювиальные болотные иловато-перегнойно-глеевые почвы,Аллювиальные болотные иловато-глеевые,тяжелосуглинистый,не определено,,3.575783900182802
2501,Тузловский подрайон,Черноземы,не определено,не определено,элювий известняка,7589.041,3.3109894507261246
2504,Тузловский подрайон,Черноземы,Черноземы обыкновенные,глинистый,Лессовидные глины,,3.296201762661407
